aspect,fbsql,madlib,notes
sql_api_name,fbsql.fit_glm / fbsql.predict_glm (set-returning functions),madlib.logregr_train (also madlib.glm) / madlib.logregr_predict_prob,MADlib training is a procedure-style call; prediction is a scalar function applied per row
fit_input,relation as SQL string + R formula string + named arguments,source table NAME as string + dependent column name + independent variables as an SQL array expression string ('ARRAY[1; age; ...]'),MADlib does not accept an inline subquery; encoded tables must be materialized first
predict_input,model relation (SQL string) + scoring relation (SQL string),coefficient array column + hand-built feature array per row (manual CROSS JOIN with the model table),the caller must repeat the exact feature construction used at fit time
model_storage,single relation; one row per term with a named term column + metadata jsonb,two tables created by side effect: <out> (one row per model; parallel arrays coef/std_err/z_stats/p_values) + <out>_summary (call parameters as strings),verified with MADlib 1.21.0 on PostgreSQL 11
output_relation_structure,term-named rows directly readable in SQL,positional arrays; the term-to-position mapping exists only at the call site,unnest with a hand-written term array was needed to produce a readable table
formula_interface,R formula string ('churn_flag ~ age + gender'),none (array expression string),
factor_handling,automatic (glm conventions: sorted levels; treatment contrasts; xlevels stored),manual one-hot encoding by the user before training (reference level dropped by hand); encode_categorical_variables helper exists but is a separate preprocessing step,
null_handling_fit,Complete Case Analysis; n_obs / n_used / n_dropped columns in the output relation,rows with NULL skipped; num_rows_processed / num_missing_rows_skipped columns in the model table,both are complete-case; FbSQL reports it per fit relation while MADlib reports it in the model table
null_handling_predict,NULL predictor yields NULL prediction,NULL array element yields NULL prediction (observed: c104),same observable behavior
novel_level_handling,on_new_levels => 'error' (default) or 'na',undetectable by design: manual dummies are all zero so unseen levels are silently scored as the reference level (observed: c105 -> 0.2020),key safety difference; MADlib has no fit-time level information to check against
relation_in,yes (any SQL string defining a relation),partial (table/view name string only),
relation_out,yes (one relation from a set-returning function),no for fit (void return; writes two tables by side effect); predict returns a scalar per row,
named_arguments,yes (name => value documented usage),positional string arguments in documented usage,MADlib functions are ordinary PostgreSQL functions so => is possible in principle but not the documented style
metadata_representation,metadata jsonb column (xlevels / contrasts / terms; SQL-inspectable),<out>_summary table stores the call strings (source_table / dependent_varname / independent_varname / optimizer params),MADlib stores the expression text rather than structured model metadata such as factor levels
numerical_agreement,matches R glm to 4 decimals (pg_regress-locked),coefficients match FbSQL/R to 4 decimals; one std_err differs in the 4th decimal (IRLS tolerance),see results/summary/madlib_running_example_summary.csv
