aspect,fbsql,spark_mllib,notes
positioning,SQL is the user API (functions inside PostgreSQL),SQL (spark.sql) defines relations; the model is fit through the DataFrame/Pipeline API,there is no SQL function like fit_glm()/predict_glm(); ML lives outside the SQL language
fit_api,fbsql.fit_glm(relation SQL string; R formula; family) returning a relation,Pipeline(stages=[RFormula(...); GeneralizedLinearRegression(family='binomial'; link='logit')]).fit(train_dataframe),verified with Spark 3.5.1 local mode (official image + numpy)
formula_interface,R formula string with R semantics,RFormula(formula='churn_flag ~ age + gender') -- formula-shaped but NOT R semantics,key finding: StringIndexer orders levels by FREQUENCY and drops the last category; here the reference level is 'Other' instead of R's first sorted level 'F'
coefficient_comparability,term-named rows matching R's glm() exactly,same fitted model but a different parameterization (verified numerically: intercept_spark = intercept_fbsql + genderOther_fbsql etc.); term names like gender_F live in ML attribute metadata,coefficient tables are not directly comparable across the two systems even though predictions are identical; hazardous when porting R workflows
family_link,gaussian/identity; binomial/logit (PoC),GeneralizedLinearRegression: gaussian/binomial/poisson/gamma/tweedie with link options,documented; only binomial/logit exercised here
predict_api,fbsql.predict_glm(relation; model; on_new_levels) returning the scored relation,model.transform(dataframe) returning the input DataFrame plus prediction (and features/label) columns,transform is closure-like at the DataFrame level -- but in the DataFrame world; not exposed to SQL
prediction_output,probability column <response>_predicted,'prediction' column on the response scale (probability for binomial GLR),observed: c101 0.0406 / c102 0.9794 / c103 0.4280 -- identical to FbSQL/R at 4 decimals
model_representation,single relation (term rows + metadata jsonb),PipelineModel (JVM object graph; persisted as a directory via .save()),never a relation
metadata_representation,metadata jsonb column inside the returned relation,ML attribute metadata attached to the features column + fitted stage state (e.g. StringIndexer labels) inside the PipelineModel,structured but object-bound; term names had to be extracted programmatically from column metadata
null_handling,Complete Case at fit; NULL predictors predict NULL,default handleInvalid='error': transform FAILS on NULL features (observed); handleInvalid='skip' silently DROPS the rows (observed: 5 rows in -> 3 rows out),the skip policy changes the output granularity -- FbSQL keeps the row with a NULL prediction
novel_level_handling,on_new_levels => 'error' (default) or 'na' (row kept; NULL prediction),the same handleInvalid setting governs unseen labels: error by default; 'skip' drops the row (observed); 'keep' buckets unseen levels (documented; not exercised),Spark couples NULL handling and novel-level handling into one switch and offers no keep-the-row-as-NULL option
relation_in,yes (any SQL string defining a relation),yes at the DataFrame level (fit/transform take DataFrames including spark.sql results),
relation_out,yes (one relation from a set-returning function),transform returns a DataFrame (input columns + appended columns) -- closure at the DataFrame level; fit returns a model object; nothing is a SQL-level relation,
named_arguments,yes (SQL name => value),host-language keyword arguments and setters (Python/Scala); not SQL named arguments,
offset_weight,deliberately out of first-paper scope,offsetCol / weightCol parameters exist on GeneralizedLinearRegression (documented; not exercised),
interaction,not yet (explicit error at predict),RFormula documents support for ':' and '*' operators (not exercised),
reproducibility,deterministic; R parity locked by pg_regress,GLR/IRLS is deterministic; stochastic algorithms expose a seed parameter,environment pinned by docker/spark/Dockerfile (official image + numpy)
